

year,seoul,average,low,high
1990,108,24,13.4,35.5
1991,108,24.1,15.2,34.7
1992,108,23.5,10.8,32.8
1993,108,22.6,13.4,31.1
1994,108,26.3,13.4,38.4
1995,108,24,12.1,33.7
1996,108,24.2,15.1,35.4
1997,108,25.4,12.4,36.1
1998,108,23.9,13.2,32.2
1999,108,25,15.8,35.4
2000,108,25.6,14.6,35.1
2001,108,25,15.6,35.3
2002,108,23.9,14.5,34.8
2003,108,23.1,14.4,32.2
2004,108,24.7,14.6,36.2
2005,108,24.4,15.5,35
2006,108,24,14.1,34.7
2007,108,24.6,14.1,33.2
2008,108,24,13.7,35.4
2009,108,24.1,14.3,34.4
2010,108,25.2,12.1,33.8
2011,108,24.1,14.4,34.1
2012,108,25.5,16.3,36.7
2013,108,25.9,16.3,33.9
2014,108,24.8,17.3,35.8
2015,108,25.2,15.6,36
2016,108,25.9,16.1,36.6
2017,108,25.4,14.5,35.4
2018,108,26.6,16.3,39.6
2019,108,25.2,14.1,36.8

